"Publication Date","Fiscal Year","Agency Name","Unit Appropriation Name","Total Adopted Budget Amount"
"20250501","2026","DEPARTMENT OF FINANCE","PARKING VIOLATIONS BUREAU OTPS","794,475"
"20250501","2026","DEPARTMENT OF FINANCE","LEGAL-OTPS","234,731"
"20250501","2026","DEPARTMENT OF FINANCE","AUDIT-OTPS","345,711"
"20250501","2026","DEPARTMENT OF FINANCE","PROPERTY-OTPS","4,553,322"
"20250501","2026","DEPARTMENT OF FINANCE","OPERATIONS-OTPS","40,849,302"
"20250501","2026","DEPARTMENT OF FINANCE","ADMINISTRATION-OTPS","90,022,726"
"20250501","2026","DEPARTMENT OF FINANCE","CITY SHERIFF","29,054,343"
"20250501","2026","DEPARTMENT OF FINANCE","PARKING VIOLATIONS BUREAU","11,429,533"
"20250501","2026","DEPARTMENT OF FINANCE","LEGAL","7,372,404"
"20250501","2026","DEPARTMENT OF FINANCE","AUDIT","38,351,665"
"20250501","2026","DEPARTMENT OF FINANCE","PROPERTY","32,901,244"
"20250501","2026","DEPARTMENT OF FINANCE","OPERATIONS","22,323,093"
"20250501","2026","DEPARTMENT OF FINANCE","ADMINISTRATION & PLANNING","49,682,533"
"20250501","2026","BUSINESS INTEGRITY COMMISSION","OTHER THAN PERSONAL SERVICES","2,115,154"
"20250501","2026","BUSINESS INTEGRITY COMMISSION","PERSONAL SERVICES","6,407,393"
"20250501","2026","DEPARTMENT OF SANITATION","SNOW-OTPS","39,744,041"
"20250501","2026","DEPARTMENT OF SANITATION","MOTOR EQUIPMENT-OTPS","25,909,862"
"20250501","2026","DEPARTMENT OF SANITATION","BUILDING MANAGEMENT-OTPS","4,179,939"
"20250501","2026","DEPARTMENT OF SANITATION","WASTE DISPOSAL-OTPS","541,359,997"
"20250501","2026","DEPARTMENT OF SANITATION","CLEANING & COLLECTION-OTPS","29,732,141"
"20250501","2026","DEPARTMENT OF SANITATION","SNOW BUDGET-PS","46,690,749"
"20250501","2026","DEPARTMENT OF SANITATION","EXEC & ADMINISTRATIVE-OTPS","128,702,287"
"20250501","2026","DEPARTMENT OF SANITATION","BUREAU OF MOTOR EQUIP","77,209,587"
"20250501","2026","DEPARTMENT OF SANITATION","BUILDING MANAGEMENT","26,872,603"
"20250501","2026","DEPARTMENT OF SANITATION","WASTE DISPOSAL","37,709,562"
"20250501","2026","DEPARTMENT OF SANITATION","CLEANING & COLLECTION","926,980,097"
"20250501","2026","DEPARTMENT OF SANITATION","EXECUTIVE ADMINISTRATIVE","62,359,729"
"20250501","2026","DEPARTMENT OF ENVIRONMENTAL PROTECT.","WASTEWATER TREATMENT","242,754,369"
